source,query,publisher,title,description,text,published_at,url,sentiment,sentiment_score,sentiment_risk,churn_signal
NewsAPI,Jio customer,The Times of India,Tap-and-pay takes off; ADIA to trim Lenskart stake,Happy Thursday! Tap-and-pay card usage is on the rise in India despite UPI's dominance. This and more in today’s ETtech Morning Dispatch.,Tap-and-pay takes off; ADIA to trim Lenskart stake Happy Thursday! Tap-and-pay card usage is on the rise in India despite UPI's dominance. This and more in today’s ETtech Morning Dispatch.,2026-06-11T01:28:46Z,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/tap-and-pay-takes-off-adia-to-trim-lenskart-stake/articleshow/131646759.cms,Positive,0.527,0.0,False
NewsAPI,Jio customer,BusinessLine,"Sensex today | Stock Market Highlights: Sensex gains 395 pts, Nifty rises to 23,242; Indigo, SBI top gainers","Sensex, Nifty, Stock Price Highlights: Indian share benchmarks rose on ​Tuesday, led by lenders after the central bank detailed a ‌concessional forex swap facility for banks' overseas foreign-currency borrowings, while ​a pause in Israel-Iran hostilities help…","Sensex today | Stock Market Highlights: Sensex gains 395 pts, Nifty rises to 23,242; Indigo, SBI top gainers Sensex, Nifty, Stock Price Highlights: Indian share benchmarks rose on ​Tuesday, led by lenders after the central bank detailed a ‌concessional forex swap facility for banks' overseas foreign-currency borrowings, while ​a pause in Israel-Iran hostilities help…",2026-06-09T10:30:31Z,https://www.thehindubusinessline.com/markets/sensex-nifty50-today-stock-market-highlights-9th-june-2026/article71076430.ece,Positive,0.772,0.0,False
NewsAPI,Jio customer,The Times of India,Can Elon Musk do to US telecom what Mukesh Ambani did in India?,Elon Musk's Starlink is poised to disrupt American telecom giants like AT&T and Verizon. Analysts believe Starlink could change how connectivity is delivered and who controls it. SpaceX's satellite internet service is evolving into a mainstream platform. This…,Can Elon Musk do to US telecom what Mukesh Ambani did in India? Elon Musk's Starlink is poised to disrupt American telecom giants like AT&T and Verizon. Analysts believe Starlink could change how connectivity is delivered and who controls it. SpaceX's satellite internet service is evolving into a mainstream platform. This…,2026-06-05T15:50:47Z,https://economictimes.indiatimes.com/news/international/business/can-elon-musk-do-to-us-telecom-what-mukesh-ambani-did-in-india/articleshow/131535861.cms,Positive,0.542,0.0,False
NewsAPI,Jio customer,The Times of India,Telcos urge TRAI to regulate OTT apps as spam shifts online,Telecom firms report most spam now bypasses regulations via internet apps. They urge the regulator to bring these platforms under control. OTT providers counter that their oversight falls under a different ministry. Discussions are ongoing regarding new rules…,Telcos urge TRAI to regulate OTT apps as spam shifts online Telecom firms report most spam now bypasses regulations via internet apps. They urge the regulator to bring these platforms under control. OTT providers counter that their oversight falls under a different ministry. Discussions are ongoing regarding new rules…,2026-06-04T10:05:39Z,https://economictimes.indiatimes.com/industry/telecom/telecom-policy/telcos-urge-trai-to-regulate-ott-apps-as-spam-shifts-online/articleshow/131503786.cms,Negative,-0.612,61.2,True
NewsAPI,Jio customer,Livemint,"Israeli startup Coralogix raises $200 mn, to allocate 20% to India biz","Coralogix, which had entered India in 2020, had announced that it would invest $30 million over three years into the country.","Israeli startup Coralogix raises $200 mn, to allocate 20% to India biz Coralogix, which had entered India in 2020, had announced that it would invest $30 million over three years into the country.",2026-06-03T15:36:26Z,https://www.livemint.com/companies/news/israeli-startup-coralogix-fundraise-india-biz-ai-11780485348282.html,Neutral,0.0,25.0,False
NewsAPI,Jio customer,The Indian Express,"Mukesh Ambani praises Ranveer Singh’s Rs 3,000 cr Dhurandhar: ‘40% of India’s box office’",Mukesh Ambani also took pride in the franchise's unconventional production and release model.,"Mukesh Ambani praises Ranveer Singh’s Rs 3,000 cr Dhurandhar: ‘40% of India’s box office’ Mukesh Ambani also took pride in the franchise's unconventional production and release model.",2026-06-03T11:13:11Z,https://indianexpress.com/article/entertainment/bollywood/mukesh-ambani-jio-studios-ranveer-singh-dhurandhar-box-office-rs-3000-cr-box-office-10721908/,Positive,0.7,0.0,False
NewsAPI,Jio customer,The Times of India,TRAI's early assessment suggests new Airtel Priority plans do not violate net neutrality norms,"TRAI is diving deep into Airtel's latest Priority Postpaid plans that promise to utilize 5G network slicing for an elevated user experience. Early indications show that there's no infringement of net neutrality. Still, TRAI is on a mission to guarantee that a…","TRAI's early assessment suggests new Airtel Priority plans do not violate net neutrality norms TRAI is diving deep into Airtel's latest Priority Postpaid plans that promise to utilize 5G network slicing for an elevated user experience. Early indications show that there's no infringement of net neutrality. Still, TRAI is on a mission to guarantee that a…",2026-06-02T15:50:45Z,https://economictimes.indiatimes.com/industry/telecom/trais-early-assessment-suggests-new-airtel-priority-plans-do-not-violate-net-neutrality-norms/articleshow/131467176.cms,Positive,0.233,0.0,False
NewsAPI,Jio customer,Livemint,Another conglomerate sets eyes on India's wealth market,"Godrej Investments launched its wealth management arm, Godrej Wealth, to target India's affluent population. Kunal Karnani is appointed CEO, with a goal of reaching ₹1 trillion in assets by 2031.&nbsp;","Another conglomerate sets eyes on India's wealth market Godrej Investments launched its wealth management arm, Godrej Wealth, to target India's affluent population. Kunal Karnani is appointed CEO, with a goal of reaching ₹1 trillion in assets by 2031.&nbsp;",2026-06-02T13:31:54Z,https://www.livemint.com/companies/news/conglomerate-indias-wealth-market-godrej-industries-group-financial-services-pirojsha-godrej-godrej-wealth-11780397510643.html,Positive,0.912,0.0,False
NewsAPI,Jio customer,Livemint,Airtel’s priority plan may not be in breach of net-neutrality norms: officials,"The Telecom Regulatory Authority of India (Trai) will continue to scrutinize whether the same affects the service quality for non-priority users, these officials told Mint on condition of anonymity.","Airtel’s priority plan may not be in breach of net-neutrality norms: officials The Telecom Regulatory Authority of India (Trai) will continue to scrutinize whether the same affects the service quality for non-priority users, these officials told Mint on condition of anonymity.",2026-06-01T17:17:19Z,https://www.livemint.com/companies/news/airtels-priority-plan-may-not-be-in-breach-of-net-neutrality-norms-officials-11780326393488.html,Positive,0.077,0.0,False
NewsAPI,Jio customer,Livemint,"In a likely sign of the times, RIL's new hires down by 90k in FY26","Reliance Industries' hiring in FY26 is likely to have been 90,000 lower, signalling a broader shift at large companies towards AI-led productivity, upskilling and leaner teams. While the overall headcount continues to grow, recruiters expect hiring across cor…","In a likely sign of the times, RIL's new hires down by 90k in FY26 Reliance Industries' hiring in FY26 is likely to have been 90,000 lower, signalling a broader shift at large companies towards AI-led productivity, upskilling and leaner teams. While the overall headcount continues to grow, recruiters expect hiring across cor…",2026-06-01T00:05:30Z,https://www.livemint.com/companies/ril-hiring-hr-attrition-recruitment-ai-11780210285270.html,Negative,-0.296,29.6,True
